unbounded
Fish 0 0 North
Fish 0 1 South
Fish 0 3 East
Fish 0 6 West
Fish 0 10 North
Fish 0 15 South
Fish 0 21 East
Fish 0 28 North
Fish 0 36 South
Fish 0 45 East
Fish 1 0 North
Fish 1 1 South
Fish 1 3 East
Fish 1 6 West
Fish 1 10 North
Fish 1 15 South
Fish 1 21 East
Fish 1 28 West
Fish 1 36 North
Fish 1 45 South
Fish 3 0 East
Fish 3 1 West
Fish 3 3 North
Fish 3 6 South
Fish 3 10 East
Fish 3 15 West
Fish 3 21 North
Fish 3 28 South
Fish 3 36 East
Fish 3 45 West
Fish 6 0 North
Fish 6 1 South
Fish 6 3 East
Fish 6 6 West
Fish 6 10 North
Fish 6 15 South
Fish 6 21 East
Fish 6 28 West
Fish 6 36 North
Fish 6 45 South
Fish 10 0 East
Fish 10 1 West
Fish 10 3 North
Fish 10 6 South
Fish 10 10 East
Fish 10 15 West
Fish 10 21 North
Fish 10 28 South
Fish 10 36 East
Fish 10 45 West
Fish 15 0 North
Fish 15 1 South
Fish 15 3 East
Fish 15 6 West
Fish 15 10 North
Fish 15 15 South
Fish 15 21 East
Fish 15 28 West
Fish 15 36 North
Fish 15 45 South
Fish 21 0 East
Fish 21 1 West
Fish 21 3 North
Fish 21 6 South
Fish 21 10 East
Fish 21 15 West
Fish 21 21 North
Fish 21 28 South
Fish 21 36 East
Fish 21 45 West
Fish 28 0 North
Fish 28 1 South
Fish 28 3 East
Fish 28 6 West
Fish 28 10 North
Fish 28 15 South
Fish 28 21 East
Fish 28 28 West
Fish 28 36 North
Fish 28 45 South
Fish 36 0 East
Fish 36 1 West
Fish 36 3 North
Fish 36 6 South
Fish 36 10 East
Fish 36 15 West
Fish 36 21 North
Fish 36 28 South
Fish 36 36 East
Fish 36 45 West
Fish 45 0 North
Fish 45 1 South
Fish 45 3 East
Fish 45 6 West
Fish 45 10 North
Fish 45 15 South
Fish 45 21 East
Fish 45 28 West
Fish 45 36 North
Fish 45 45 South
